TeamName,TeamID
fl atlantic,1194
fl gulf coast,1195
fla. atlantic,1194
FlaAtlantic,1194
FlaGulfCoast,1195
florida,1196
florida a&m,1197
florida atlantic,1194
florida gulf coast,1195
florida internationa,1198
florida international,1198
florida intl,1198
florida st,1199
florida st.,1199
florida state,1199
FloridaA&M,1197
florida-am,1197
florida-atlantic,1194
FloridaGulfCoast,1195
floridagulfcoast,1195
florida-gulf-coast,1195
florida-international,1198
FloridaIntl,1198
FloridaState,1199
florida-state,1199
fordham,1200
fort wayne(ipfw),1236
fresno st,1201
fresno st.,1201
fresno state,1201
FresnoState,1201
fresno-state,1201
FullertonSt.,1168
furman,1202
g washington,1203
ga southern,1204
ga. southern,1204
gardner webb,1205
GardnerWebb,1205
gardner-webb,1205
george mason,1206
george washington,1203
GeorgeMason,1206
george-mason,1206
georgetown,1207
george-washington,1203
georgia,1208
georgia southern,1204
georgia st,1209
georgia st.,1209
georgia state,1209
georgia tech,1210
GeorgiaSouthern,1204
georgia-southern,1204
GeorgiaState,1209
georgia-state,1209
GeorgiaTech,1210
georgia-tech,1210
GeoWashington,1203
gonzaga,1211
grambling,1212
grambling st.,1212
grambling state,1212
grambling-state,1212
grand canyon,1213
GrandCanyon,1213
grand-canyon,1213
green bay,1453
green-bay,1453
hampton,1214
hardin-simmons,1215
hartford,1216
harvard,1217
hawaii,1218
high point,1219
HighPoint,1219
high-point,1219
hofstra,1220
holy cross,1221
HolyCross,1221
holy-cross,1221
houston,1222
houston bap,1223
houston baptist,1223
HoustonBaptist,1223
houston-baptist,1223
HoustonU,1222
howard,1224
idaho,1225
idaho st,1226
idaho st.,1226
idaho state,1226
IdahoState,1226
idaho-state,1226
IdahoU,1225
il chicago,1227
ill.-chicago,1227
illinois,1228
illinois chicago,1227
illinois st,1229
illinois st.,1229
illinois state,1229
IllinoisChicago,1228
illinois-chicago,1227
IllinoisState,1229
illinois-state,1229
incarnate word,1230
IncarnateWord,1230
incarnate-word,1230
indiana,1231
indiana - purdue,1237
indiana st,1232
indiana st.,1232
indiana state,1232
IndianaState,1232
indiana-state,1232
IndianaU,1231
iona,1233
iowa,1234
iowa st,1235
iowa st.,1235
iowa state,1235
IowaState,1235
iowa-state,1235
ipfw,1236
iupu - ft. wayne,1236
iupu-fort wayne,1236
iupu-fort-wayne,1236
iupui,1237
jackson st,1238
jackson st.,1238
jackson state,1238
JacksonSt.,1238
JacksonState,1238
jackson-state,1238
jacksonville,1239
jacksonville st,1240
jacksonville st.,1240
jacksonville state,1240
JacksonvilleSt,1240
JacksonvilleState,1240
jacksonville-state,1240
james madison,1241
JamesMadison,1241
james-madison,1241
kansas,1242
kansas st,1243
kansas st.,1243
kansas state,1243
KansasState,1243
kansas-state,1243
kennesaw,1244
kennesaw st.,1244
kennesaw state,1244
KennesawSt,1244
kennesaw-state,1244
kent,1245
kent st.,1245
kent state,1245
KentSt.,1245
KentState,1245
kent-state,1245
kentucky,1246
la salle,1247
la.-lafayette,1418
la.-monroe,1419
lafayette,1248
lamar,1249
LaSalle,1247
la-salle,1247
lehigh,1250
liberty,1251
lipscomb,1252
little rock,1114
liu brooklyn,1254
LiuBrooklyn,1254
liu-brooklyn,1254
long beach st,1253
long beach st.,1253
long beach state,1253
long island,1254
long island university,1254
LongBeachState,1253
long-beach-state,1253
LongIsland,1254
long-island,1254
long-island-university,1254
longwood,1255
louisiana,1418
louisiana lafayette,1418
louisiana monroe,1419
louisiana state,1261
louisiana tech,1256
louisiana-lafayette,1418
louisiana-monroe,1419
louisiana-state,1261
LouisianaTech,1256
louisiana-tech,1256
louisville,1257
loy marymount,1258
loyola (il),1260
loyola (md),1259
loyola chicago,1260
loyola maryland,1259
loyola marymount,1258
loyola md,1259
loyola-c,1260
LoyolaChicago,1260
loyola-chicago,1260
loyola-il,1260
LoyolaMaryland,1259
loyola-maryland,1259
LoyolaMarymount,1258
loyola-marymount,1258
loyola-md,1259
lsu,1261
ma lowell,1262
maine,1263
manhattan,1264
marist,1265
marquette,1266
marshall,1267
maryland,1268
maryland - e. shore,1271
maryland eastern shore,1271
maryland-baltimore county,1420
maryland-baltimore-county,1420
maryland-eastern shore,1271
maryland-eastern-shore,1271
massachusetts,1269
massachusetts lowell,1262
massachusetts-lowell,1262
mcneese st,1270
mcneese st.,1270
mcneese state,1270
McNeeseState,1270
mcneese-state,1270
md baltimore co,1420
md baltimore cty,1420
md e shore,1271
md. eastern shore,1271
MDBaltimoreCo,1420
MDEasternShore,1271
memphis,1272
MemphisU,1272
mercer,1273
miami - florida,1274
miami (fl),1274
miami (oh),1275
miami fl,1274
miami oh,1275
miami-fl,1274
MiamiFlorida,1274
miami-florida,1274
miami-oh,1275
MiamiOhio,1275
miami-ohio,1275
michigan,1276
michigan st,1277
michigan st.,1277
michigan state,1277
MichiganState,1277
michigan-state,1277
middle tenn st,1292
middle tenn st.,1292
middle tenn.,1292
middle tennessee,1292
middle tennessee st.,1292
middle-tennessee,1292
middle-tennessee-state,1292
MiddleTennSt,1292
milwaukee,1454
minnesota,1278
MinnesotaU,1278
miss valley st.,1290
mississippi,1279
mississippi st,1280
mississippi st.,1280
mississippi state,1280
mississippi val.,1290
mississippi valley st.,1290
mississippi valley state,1290
MississippiSt,1280
mississippi-state,1280
mississippi-valley-state,1290
missouri,1281
missouri kc,1282
missouri st,1283
missouri st.,1283
missouri state,1283
missouri-kansas city,1282
missouri-kansas-city,1282
MissouriSt,1283
missouri-state,1283
MissValleySt,1290
mo kansas city,1282
MoKansasCity,1282
monmouth,1284
monmouth nj,1284
monmouth-nj,1284
montana,1285
montana st,1286
montana st.,1286
montana state,1286
MontanaState,1286
montana-state,1286
morehead st,1287
morehead st.,1287
morehead state,1287
MoreheadState,1287
morehead-state,1287
morgan st,1288
morgan st.,1288
morgan state,1288
MorganState,1288
morganstate,1288
morgan-state,1288
morris brown,1289
morris-brown,1289
mount st. marys,1291
mount st. mary's,1291
MountStMarys,1289
mount-st-marys,1291
ms valley st,1290
ms valley state,1290
mt st mary's,1291
mt st. mary's,1291
mt. st. mary`s,1291
mtsu,1292
murray st,1293
murray st.,1293
murray state,1293
MurrayState,1293
murray-state,1293
mvsu(miss. valley st,1290
n colorado,1294
n dakota st,1295
n illinois,1296
n kentucky,1297
n. carolina a&t,1299
n.c. a&t,1299
n.c. asheville,1421
n.c. central,1300
n.c. state,1301
N.CarolinaA&T,1299
n.j.i.t.,1312
navy,1298
nc a&t,1299
nc asheville,1421
nc central,1300
nc charlotte,1150
nc greensboro,1422
nc state,1301
nc wilmington,1423
NCAsheville,1421
NCCENTRAL,1300
NCCentral,1300
NCCharlotte,1150
NCGreensboro,1422
nc-greensboro,1422
NCState,1301
NCWilmington,1423
nc-wilmington,1423
NDakotaSt,1295
ne illinois,1302
ne omaha,1303
nebraska,1304
nebraska omaha,1303
NebraskaOmaha,1303
nebraska-omaha,1303
nevada,1305
nevada-las vegas,1424
nevada-las-vegas,1424
new hampshire,1306
new jersey tech,1312
new mexico,1307
new mexico st,1308
new mexico st.,1308
new mexico state,1308
new orleans,1309
NewHampshire,1306
new-hampshire,1306
new-jersey-tech,1312
NewMexico,1307
new-mexico,1307
NewMexicoSt.,1308
NewMexicoState,1308
new-mexico-state,1308
new-orleans,1309
NewOrleansU,1309
niagara,1310
nicholls,1311
nicholls st,1311
nicholls st.,1311
nicholls state,1311
NichollsState,1311
nicholls-state,1311
njit,1312
no.carolina a&t,1299
No.Colorado,1294
NoIllinois,1296
norfolk st,1313
norfolk st.,1313
norfolk state,1313
NorfolkSt,1313
norfolk-state,1313
north carolina,1314
north carolina a&t,1299
north carolina central,1300
north carolina st.,1301
north carolina state,1301
north carolina-asheville,1421
north carolina-greensboro,1422
north carolina-wilmington,1423
north dakota,1315
north dakota st.,1295
north dakota state,1295
north florida,1316
north texas,1317
north-carolina,1314
north-carolina-asheville,1421
north-carolina-at,1299
north-carolina-central,1300
north-carolina-charlotte,1150
north-carolina-greensboro,1422
north-carolina-state,1301
north-carolina-wilmington,1423
NorthDakota,1315
north-dakota,1315
NorthDakotaState,1295
north-dakota-state,1295
northeastern,1318
northeastern illinois,1302
northern ariz.,1319
northern arizona,1319
northern colo.,1294
northern colorado,1294
northern ill.,1296
northern illinois,1296
northern iowa,1320
northern kentucky,1297
northern ky.,1297
NorthernArizona,1319
northern-arizona,1319
NorthernArz,1319
NorthernColorado,1294
northern-colorado,1294
northern-illinois,1296
NorthernIowa,1320
northern-iowa,1320
NorthernKentucky,1297
northern-kentucky,1297
NorthFlorida,1316
north-florida,1316
NorthTexas,1317
north-texas,1317
northwestern,1321
northwestern la,1322
northwestern st.,1322
northwestern state,1322
NorthwesternSt,1322
northwestern-state,1322
notre dame,1323
NotreDame,1323
notre-dame,1323
oakland,1324
ohio,1325
ohio st,1326
ohio st.,1326
ohio state,1326
OhioState,1326
ohio-state,1326
okla city,1327
oklahoma,1328
oklahoma city,1327
oklahoma st,1329
oklahoma st.,1329
oklahoma state,1329
OklahomaSt.,1329
OklahomaState,1329
oklahoma-state,1329
old dominion,1330
OldDominion,1330
old-dominion,1330
ole miss,1279
omaha,1303
oral roberts,1331
OralRoberts,1331
oral-roberts,1331
oregon,1332
oregon st,1333
oregon st.,1333
oregon state,1333
OregonState,1333
oregon-state,1333
pacific,1334
penn,1335
penn st,1336
penn st.,1336
penn state,1336
PennState,1336
penn-state,1336
pennsylvania,1335
pepperdine,1337
pitt,1338
pittsburgh,1338
portland,1339
portland st,1340
portland st.,1340
portland state,1340
PortlandState,1340
portland-state,1340
PortlandU,1339
prairie view,1341
prairie view a&m,1341
PrairieViewA&M,1341
prairie-view-am,1341
presbyterian,1342
princeton,1343
providence,1344
purdue,1345
quinnipiac,1346
radford,1347
rhode island,1348
RhodeIsland,1348
rhode-island,1348
rice,1349
richmond,1350
rider,1351
robert morris,1352
RobertMorris,1352
robert-morris,1352
rutgers,1353
s carolina st,1354
s carolina state,1354
s dakota st,1355
s illinois,1356
sacramento st.,1170
sacramento state,1170
SacramentoState,1170
sacramento-state,1170
sacred heart,1357
SacredHeart,1357
sacred-heart,1357
saint francis (pa),1384
saint joseph`s,1386
saint joseph's,1386
saint louis,1387
saint mary's,1388
saint mary's (ca),1388
saint peter`s,1389
saint peter's,1389
saint-francis-pa,1384
saint-josephs,1386
SaintLouis,1387
saint-louis,1387
saint-marys,1388
SaintMarysCA,1388
saint-marys-ca,1388
saint-peters,1389
sam houston st,1358
sam houston st.,1358
sam houston state,1358
samford,1359
SamHouston,1358
SamHoustonSt,1358
sam-houston-state,1358
san diego,1360
san diego st,1361
san diego st.,1361
san diego state,1361
san francisco,1362
san jose st,1363
san jose st.,1363
san jose state,1363
SanDiego,1360
san-diego,1360
SanDiegoState,1361
san-diego-state,1361
SanFrancisco,1362
san-francisco,1362
SanJoseState,1363
san-jose-state,1363
santa barbara,1364
santa clara,1365
SantaClara,1365
santa-clara,1365
savannah st,1366
savannah st.,1366
savannah state,1366
SavannahState,1366
savannah-state,1366
sc state,1354
sc upstate,1367
SCarUpstate,1367
SCUpstate,1367
sd state,1361
SDakotaSt,1361
se louisiana,1368
se missouri st,1369
se missouri st.,1369
se missouri st.(se,1369
se missouri state,1369
seattle,1370
SeattleU,1370
SELouisiana,1368
SEMissouriSt,1369
seton hall,1371
SetonHall,1371
seton-hall,1371
sf austin,1372
siena,1373
siu - edwardsville,1188
siu edwardsville,1188
SIUEdwardsville,1188
siu-edwardsville,1188
sju (pa),1386
smu,1374
SoCarolinaSt,1354
socarolinast,1354
SoIllinois,1356
SoMississippi,1379
south ala.,1375
south alabama,1375
south carolina,1376
south carolina st.,1354
south carolina state,1354
south carolina upstat,1367
south carolina upstate,1367
south dakota,1377
south dakota st.,1355
south dakota state,1355
south fla.,1378
south florida,1378
SouthAlabama,1375
south-alabama,1375
SouthCarolina,1376
south-carolina,1376
SouthCarolinaState,1354
south-carolina-state,1354
south-carolina-upstate,1367
SouthDakota,1377
southDakota,1377
south-dakota,1377
SouthDakotaSt,1377
SouthDakotaState,1377
south-dakota-state,1355
southeast missouri st.,1369
southeast missouri state,1369
southeast mo. st.,1369
southeastern la.,1368
southeastern louisiana,1368
southeastern-louisiana,1368
southeast-missouri-state,1369
southern,1380
southern california,1425
southern ill.,1356
southern illinois,1356
southern illinois-edwardsville,1188
southern methodist,1374
southern miss,1379
southern miss.,1379
southern mississippi,1379
southern u,1380
southern u.,1380
southern un,1380
southern univ,1380
southern utah,1381
southern-california,1425
SouthernIllinois,1356
southern-illinois,1356
southern-illinois-edwardsville,1188
southern-methodist,1374
SouthernMiss,1379
southern-miss,1379
southern-mississippi,1379
southern-university,1380
SouthernUtah,1381
southern-utah,1381
SouthFlorida,1378
south-florida,1378
southwest missouri st.,1283
southwest texas st.,1402
st bonaventure,1382
st francis (ny),1383
st francis (pa),1384
st francis ny,1383
st francis pa,1384
st john's,1385
st john's (ny),1385
st joseph's,1386
st joseph's pa,1386
st louis,1387
st mary's (ca),1388
st mary's ca,1388
st peter's,1389
st. bonaventure,1382
st. francis (bkn),1383
st. francis (ny),1383
st. francis (pa),1384
st. francis brooklyn,1383
st. francis ny,1383
st. francis pa,1384
st. francis-ny,1383
st. john`s (ny),1385
st. john's,1385
st. john's (ny),1385
st. joseph's,1386
st. joseph's pa,1386
st. mary`s (ca),1388
st. mary's,1388
st. peter's,1389
St.Bonaventure,1382
St.FrancisNY,1383
St.FrancisPA,1384
St.Johns,1385
St.Josephs,1386
St.Peter's,1389
stanford,1390
st-bonaventure,1382
stephen f. austin,1372
StephenAustin,1372
StephenF.Austin,1372
stephen-f-austin,1372
stetson,1391
st-francis-ny,1383
st-francis-pa,1384
st-johns,1385
st-johns-ny,1385
st-josephs-pa,1386
stony brook,1392
StonyBrook,1392
stony-brook,1392
st-peters,1389
sw missouri st.,1283
syracuse,1393
tam c,1394
tam c. christi,1394
tcu,1395
temple,1396
tennessee,1397
tennessee martin,1404
tennessee st,1398
tennessee st.,1398
tennessee state,1398
tennessee tech,1399
TennesseeChat,1151
tennessee-martin,1404
TennesseeSt.,1398
TennesseeState,1398
tennessee-state,1398
TennesseeTech,1399
tennessee-tech,1399
TennMartin,1404
tenn-martin,1404
tex.-pan american,1410
texas,1400
texas a&m,1401
texas a&m cc,1394
texas a&m corpus,1394
texas a&m corpus chris,1394
texas a&m-cc,1394
texas a&m-corpus christi,1394
texas arlington,1426
texas christian,1395
texas pan american,1410
texas rio grande valley,1410
texas san antonio,1427
texas southern,1411
texas st,1402
texas st.,1402
texas state,1402
texas tech,1403
TexasA&M,1401
TexasA&MCorpus,1394
texas-am,1401
texas-am-corpus-christi,1394
TexasArlington,1426
texas-arlington,1426
texas-christian,1395
texas-el paso,1431
texas-el-paso,1431
texas-pan american,1410
Texas-PanAmerican,1410
texas-pan-american,1410
texas-rio grande valley,1410
texas-san antonio,1427
texas-san antonio(ut,1427
texas-san-antonio,1427
TexasSouthern,1411
texas-southern,1411
TexasState,1402
texas-state,1402
TexasTech,1403
texas-tech,1403
TexSanAntonio,1427
the citadel,1154
TheCitadel,1154
tn martin,1404
toledo,1405
towson,1406
TowsonState,1406
troy,1407
troy st.,1407
tulane,1408
tulsa,1409
tx pan american,1410
tx southern,1411
TXPanAmerican,1410
uab,1412
ualr,1114
uc davis,1413
uc irvine,1414
uc riverside,1415
uc santa barbara,1364
UCDavis,1413
uc-davis,1413
ucf,1416
uc-irvine,1414
ucla,1417
uconn,1163
uc-riverside,1415
uc-santa barbara,1364
ucsb,1364
uic,1227
ull,1418
ULLafayette,1418
ulm,1419
ULMonroe,1419
umass,1269
umass lowell,1262
UMassLowell,1262
umass-lowell,1262
umbc,1420
umes,1271
umkc,1282
unc,1314
unc asheville,1421
unc greensboro,1422
unc wilmington,1423
uni,1320
university of california,1143
unlv,1424
usc,1425
usc upstate,1367
USCUpstate,1367
usc-upstate,1367
ut arlington,1426
ut martin,1404
ut rio grande valley,1410
ut san antonio,1427
utah,1428
utah st,1429
utah st.,1429
utah state,1429
utah valley,1430
utah valley st.,1430
UtahSt.,1429
UtahState,1429
utah-state,1429
UtahU,1428
UtahValley,1430
utah-valley,1430
UtahValleySt,1430
utah-valley-state,1430
UTArlington,1426
utep,1431
utica,1432
ut-martin,1404
utrgv,1410
UTRioGrandeValley,1410
UTRioGrandValley,1410
utsa,1427
va commonwealth,1433
VaCommonwealth,1433
valparaiso,1434
vanderbilt,1435
vcu,1433
vcu(va. commonwealth,1433
vermont,1436
villanova,1437
virginia,1438
virginia commonwealth,1433
virginia military,1440
virginia military institute,1440
virginia tech,1439
virginia-commonwealth,1433
virginia-military-institute,1440
VirginiaTech,1439
virginia-tech,1439
vmi,1440
w carolina,1441
w illinois,1442
w kentucky,1443
w michigan,1444
w salem st,1445
w texas a&m,1446
wagner,1447
wake forest,1448
WakeForest,1448
wake-forest,1448
washington,1449
washington st,1450
washington st.,1450
washington state,1450
WashingtonState,1450
washington-state,1450
WashingtonU,1449
weber st,1451
weber st.,1451
weber state,1451
WeberState,1451
weber-state,1451
west texas a&m,1446
west virginia,1452
western caro.,1441
western carolina,1441
western ill.,1442
western illinois,1442
western kentucky,1443
western ky.,1443
western mich.,1444
western michigan,1444
WesternCarolina,1441
western-carolina,1441
WesternIllinois,1442
western-illinois,1442
WesternKentucky,1443
western-kentucky,1443
WesternMichigan,1444
western-michigan,1444
WestVirginia,1452
west-virginia,1452
wi green bay,1453
wi milwaukee,1454
wichita st,1455
wichita st.,1455
wichita state,1455
WichitaState,1455
wichita-state,1455
william & mary,1456
William&Mary,1456
william-mary,1456
winston salem,1445
winston salem st.,1445
winston-salem,1445
winston-salem-state,1445
winthrop,1457
wis.-green bay,1453
wis.-milwaukee,1454
WiscGreenBay,1453
WiscMilwaukee,1454
wisconsin,1458
wisconsin-green bay,1453
wisconsin-green-bay,1453
wisconsin-milwaukee,1454
wku,1443
wofford,1459
wright st,1460
wright st.,1460
wright state,1460
WrightState,1460
wright-state,1460
wyoming,1461
xavier,1462
yale,1463
youngstown st,1464
youngstown st.,1464
youngstown state,1464
YoungstownSt.,1464
YoungstownState,1464
youngstown-state,1464
NorthCarolina,1314
CentralMich,1141
CaliforniaBaptist,1143
ColoradoSt.,1161
EasternWashington,1186
IllinoisSt.,1229
MichiganSt.,1277
NorthDakotaSt,1315
NorthAlabama,1317
OhioSt.,1326
OregonSt.,1333
SamHoustonState,1358
SEMissouriSt.,1369
StMarys-CA,1388
UNC-Wilmington,1423
VaMilitary,1440
WesternKy,1443
WeberSt.,1451
Wisc-GreenBay,1453
 WichitaState,1455
